city,date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,wind_speed_10m_max,shortwave_radiation_sum,relative_humidity_2m_avg
Alfonso,2020-12-12,28.30,22.30,33.50,25.80,15.90,16.23,89.21
Alfonso,2020-12-13,27.80,22.35,33.20,25.65,16.40,15.04,90.91
Alfonso,2020-12-14,27.80,22.33,32.43,25.37,16.93,15.95,89.55
Alfonso,2020-12-15,27.17,22.33,30.77,24.80,19.03,16.02,89.65
Alfonso,2020-12-16,26.90,22.10,29.27,24.00,21.13,17.17,87.48
Alfonso,2020-12-17,26.17,21.90,28.50,23.37,22.70,15.15,89.62
Alfonso,2020-12-18,26.17,21.67,28.03,22.90,25.13,14.46,89.65
Alfonso,2020-12-19,24.97,21.70,27.07,22.83,27.40,9.87,93.14
Alfonso,2020-12-20,25.00,21.90,27.17,22.93,29.37,9.83,93.65
Alfonso,2020-12-21,24.83,22.00,28.00,22.87,28.40,9.81,94.83
Alfonso,2020-12-22,26.13,22.00,29.40,23.27,24.67,14.17,92.32
Alfonso,2020-12-23,26.90,21.97,29.97,23.80,21.33,16.28,89.59
Alfonso,2020-12-24,27.53,22.00,30.67,24.57,17.47,18.02,86.68
Alfonso,2020-12-25,27.67,22.00,30.93,24.53,17.87,18.87,85.65
Alfonso,2020-12-26,27.10,21.97,30.40,24.33,19.83,17.87,87.07
Alfonso,2020-12-27,25.33,21.80,28.40,24.17,21.03,11.96,91.59
Alfonso,2020-12-28,25.20,21.43,28.57,24.10,18.37,9.93,92.32
Alfonso,2020-12-29,25.67,21.57,29.77,24.67,14.33,10.19,91.50
Alfonso,2020-12-30,27.47,21.87,31.97,24.67,15.50,15.46,87.96
Alfonso,2020-12-31,26.83,21.80,29.80,23.33,21.33,15.65,86.81
Alfonso,2021-01-01,25.57,21.03,26.63,21.03,28.63,15.07,85.31
Alfonso,2021-01-02,24.70,20.47,24.80,20.07,30.33,14.99,84.70
Alfonso,2021-01-03,24.37,20.87,25.67,20.73,29.47,13.17,87.95
Alfonso,2021-01-04,25.37,21.43,27.50,22.20,26.80,14.70,89.54
Alfonso,2021-01-05,25.63,21.80,28.30,22.97,25.13,14.50,91.58
Alfonso,2021-01-06,26.57,21.63,28.70,23.17,24.40,18.26,88.86
Alfonso,2021-01-07,26.33,21.40,28.57,23.03,23.43,18.04,88.32
Alfonso,2021-01-08,25.83,21.23,27.33,22.50,23.57,14.72,87.12
Alfonso,2021-01-09,24.80,20.97,26.10,21.53,24.80,11.79,87.25
Alfonso,2021-01-10,23.93,20.60,24.10,20.17,28.23,10.88,85.38
Alfonso,2021-01-11,23.53,20.10,22.93,18.97,30.60,12.58,82.68
Alfonso,2021-01-12,23.67,19.73,22.70,19.13,28.17,13.03,81.42
Alfonso,2021-01-13,23.97,19.53,23.60,19.53,25.03,13.11,82.53
Alfonso,2021-01-14,24.70,19.83,25.23,20.60,21.67,13.64,84.06
Alfonso,2021-01-15,25.37,20.43,26.60,21.57,21.13,14.44,84.86
Alfonso,2021-01-16,25.77,20.90,27.30,22.03,21.23,14.70,84.42
Alfonso,2021-01-17,24.80,20.93,26.63,21.83,22.57,12.13,86.07
Alfonso,2021-01-18,24.53,20.70,25.83,21.23,25.90,12.51,86.47
Alfonso,2021-01-19,23.83,20.80,25.03,21.20,26.67,9.31,89.51
Alfonso,2021-01-20,24.03,20.90,25.73,22.00,23.23,9.31,91.76
Alfonso,2021-01-21,24.07,21.17,27.03,23.20,18.87,6.79,94.42
Alfonso,2021-01-22,25.37,21.37,29.53,24.47,14.83,9.15,93.33
Alfonso,2021-01-23,26.67,21.30,30.73,24.97,14.67,13.08,90.56
Alfonso,2021-01-24,27.20,21.40,31.53,24.87,15.20,15.45,89.47
Alfonso,2021-01-25,27.17,21.40,31.03,24.50,16.47,17.34,88.43
Alfonso,2021-01-26,27.20,21.67,30.63,24.10,18.30,17.84,87.61
Alfonso,2021-01-27,26.83,21.63,29.53,23.70,19.73,17.64,87.52
Alfonso,2021-01-28,26.57,21.33,29.00,22.60,21.30,17.07,87.24
Alfonso,2021-01-29,25.67,20.77,27.00,20.90,26.13,17.76,83.91
Alfonso,2021-01-30,25.13,20.13,25.20,19.13,29.87,20.00,78.63
Alfonso,2021-01-31,24.43,19.47,23.53,18.07,31.87,21.02,76.01
Alfonso,2021-02-01,24.70,19.13,24.50,18.17,29.13,20.96,78.17
Alfonso,2021-02-02,25.50,19.20,26.20,19.00,25.20,20.85,80.20
Alfonso,2021-02-03,26.00,19.77,27.03,19.90,24.47,20.02,81.67
Alfonso,2021-02-04,26.03,20.27,27.00,20.37,25.17,17.30,81.52
Alfonso,2021-02-05,25.83,20.67,26.53,20.67,27.33,16.25,82.68
Alfonso,2021-02-06,26.00,20.83,27.23,21.10,26.13,16.52,83.52
Alfonso,2021-02-07,26.63,21.17,28.23,22.00,24.03,18.83,84.21
Alfonso,2021-02-08,26.63,21.37,28.20,22.40,23.70,18.79,84.82
Alfonso,2021-02-09,25.63,21.40,26.73,22.03,25.13,15.44,86.58
Alfonso,2021-02-10,25.13,20.83,26.20,20.67,27.67,14.54,86.96
Alfonso,2021-02-11,25.23,20.43,27.20,21.03,22.10,14.53,87.94
Alfonso,2021-02-12,26.40,20.27,29.27,22.07,18.63,17.69,86.97
Alfonso,2021-02-13,26.00,20.53,29.27,23.40,13.97,14.76,90.11
Alfonso,2021-02-14,25.80,20.67,29.27,23.03,15.63,14.18,89.73
Alfonso,2021-02-15,25.53,20.50,29.37,22.53,15.83,13.40,89.71
Alfonso,2021-02-16,25.93,20.33,29.37,21.83,18.17,16.90,86.21
Alfonso,2021-02-17,26.20,20.00,29.03,21.27,19.13,18.16,84.53
Alfonso,2021-02-18,25.83,19.87,27.50,20.37,21.80,20.51,82.51
Alfonso,2021-02-19,25.27,19.37,26.17,19.10,24.37,21.33,81.17
Alfonso,2021-02-20,24.37,18.87,24.40,17.60,26.97,21.63,77.36
Alfonso,2021-02-21,24.37,18.63,24.43,16.80,25.93,19.41,76.00
Alfonso,2021-02-22,24.83,19.03,25.57,18.27,24.00,16.62,79.21
Alfonso,2021-02-23,25.63,20.07,28.40,20.93,20.27,14.23,86.64
Alfonso,2021-02-24,26.33,20.93,30.27,23.43,17.90,15.02,90.99
Alfonso,2021-02-25,27.07,21.63,31.57,24.30,15.50,18.41,87.59
Alfonso,2021-02-26,27.90,21.37,31.60,23.73,14.70,20.96,83.28
Alfonso,2021-02-27,28.03,21.20,31.60,23.77,14.23,21.27,82.38
Alfonso,2021-02-28,27.90,21.20,31.93,23.90,15.27,19.66,85.51
Alfonso,2021-03-01,27.70,21.73,32.30,24.40,17.57,19.31,87.24
Alfonso,2021-03-02,28.00,21.90,32.50,24.33,18.57,20.14,86.36
Alfonso,2021-03-03,27.80,21.80,31.57,23.97,20.37,21.07,86.24
Alfonso,2021-03-04,27.37,21.60,30.23,23.50,21.90,21.92,85.15
Alfonso,2021-03-05,26.90,21.57,29.13,23.20,23.40,22.19,84.77
Alfonso,2021-03-06,27.07,21.43,29.50,23.00,21.93,23.15,82.63
Alfonso,2021-03-07,27.27,21.30,29.57,23.03,21.00,23.79,81.57
Alfonso,2021-03-08,27.27,21.13,29.50,22.57,21.30,23.67,81.01
Alfonso,2021-03-09,26.60,21.03,28.73,22.27,22.80,22.07,82.79
Alfonso,2021-03-10,26.53,20.77,28.23,21.70,24.63,21.50,82.42
Alfonso,2021-03-11,26.70,20.80,28.23,21.40,26.00,22.00,80.41
Alfonso,2021-03-12,26.93,21.03,27.80,21.53,27.77,20.48,80.09
Alfonso,2021-03-13,25.93,21.30,26.77,21.83,27.10,15.16,84.03
Alfonso,2021-03-14,25.07,21.30,26.00,22.20,25.53,10.78,88.31
Alfonso,2021-03-15,24.73,21.27,26.83,22.50,21.73,9.13,90.58
Alfonso,2021-03-16,26.00,21.43,29.67,23.43,17.53,13.44,89.36
Alfonso,2021-03-17,27.27,21.83,32.20,24.77,12.97,16.41,88.35
Alfonso,2021-03-18,28.70,22.17,33.70,25.67,11.70,20.70,85.44
Alfonso,2021-03-19,29.03,22.43,33.80,25.90,12.57,21.42,84.80
Alfonso,2021-03-20,29.03,22.43,33.70,25.53,15.40,21.71,85.12
Alfonso,2021-03-21,28.50,22.37,33.07,25.20,16.97,21.07,86.50
Alfonso,2021-03-22,28.03,22.30,32.10,24.57,20.27,20.89,86.99
Alfonso,2021-03-23,27.23,22.07,29.90,23.67,25.17,20.20,85.72
Alfonso,2021-03-24,27.00,21.90,29.13,23.13,26.07,20.13,84.54
Alfonso,2021-03-25,27.37,21.70,29.57,23.13,25.30,21.28,82.86
Alfonso,2021-03-26,27.80,21.67,30.60,23.27,22.53,22.79,83.47
Alfonso,2021-03-27,28.23,21.63,31.33,23.57,21.50,23.26,83.10
Alfonso,2021-03-28,28.50,21.80,32.03,24.10,18.83,22.30,83.10
Alfonso,2021-03-29,29.13,22.10,32.87,24.90,16.20,22.59,81.42
Alfonso,2021-03-30,29.83,22.27,33.83,25.10,16.00,23.57,79.68
Alfonso,2021-03-31,29.77,22.30,33.13,25.00,17.33,23.70,79.40
Alfonso,2021-04-01,29.90,22.27,33.07,24.80,19.40,23.79,78.78
Alfonso,2021-04-02,29.83,22.00,32.37,24.33,20.13,24.09,77.44
Alfonso,2021-04-03,30.03,21.70,32.20,23.57,20.93,24.58,75.25
Alfonso,2021-04-04,29.73,21.60,31.90,23.43,20.07,23.74,76.43
Alfonso,2021-04-05,29.37,21.70,31.67,23.70,20.20,22.89,78.60
Alfonso,2021-04-06,29.07,21.83,31.80,23.80,20.80,23.20,80.25
Alfonso,2021-04-07,28.77,21.50,31.47,22.97,21.57,24.03,79.14
Alfonso,2021-04-08,28.50,21.30,31.23,22.47,21.30,23.94,77.76
Alfonso,2021-04-09,28.33,21.27,30.67,22.57,20.00,22.98,76.93
Alfonso,2021-04-10,28.53,21.43,30.60,22.80,20.63,23.38,75.93
Alfonso,2021-04-11,29.00,21.40,30.87,22.67,21.57,24.00,75.33
Alfonso,2021-04-12,29.50,21.20,31.80,22.50,22.33,24.49,74.71
Alfonso,2021-04-13,29.83,21.27,33.33,23.30,18.70,22.45,77.40
Alfonso,2021-04-14,30.20,21.67,34.37,24.20,16.17,21.40,79.44
Alfonso,2021-04-15,30.03,22.10,34.43,25.03,14.93,19.90,82.07
Alfonso,2021-04-16,30.23,22.20,33.83,25.10,16.47,21.88,79.94
Alfonso,2021-04-17,30.23,22.03,33.40,24.83,16.83,22.17,77.79
Alfonso,2021-04-18,30.63,21.93,33.40,24.63,16.47,23.35,74.33
Alfonso,2021-04-19,30.60,22.03,33.30,24.57,16.67,22.85,74.54
Alfonso,2021-04-20,29.73,22.30,32.83,25.37,17.20,21.46,77.63
Alfonso,2021-04-21,29.03,22.67,32.57,26.00,18.50,20.57,81.97
Alfonso,2021-04-22,28.63,22.73,32.63,26.30,19.47,19.81,85.07
Alfonso,2021-04-23,29.47,22.63,33.33,26.23,19.60,22.09,83.86
Alfonso,2021-04-24,29.73,22.00,33.33,25.67,18.27,23.98,82.18
Alfonso,2021-04-25,29.90,21.67,32.83,25.57,16.67,24.67,79.43
Alfonso,2021-04-26,28.73,21.53,30.80,24.63,17.20,22.21,79.24
Alfonso,2021-04-27,28.13,21.67,30.10,23.90,18.83,21.10,78.44
Alfonso,2021-04-28,28.17,21.63,30.70,22.90,19.97,20.26,77.19
Alfonso,2021-04-29,28.73,21.63,32.37,22.90,18.67,21.74,76.11
Alfonso,2021-04-30,29.60,21.57,34.00,23.83,14.03,21.73,75.93
Alfonso,2021-05-01,30.50,21.73,35.17,24.53,12.33,23.36,75.75
